Country or Area,Year,Value
Afghanistan,2005,35.2
Albania,2005,5
Algeria,2005,7
American Samoa,2005,
Andorra,2005,5
Angola,2005,34.2
Anguilla,2005,
Antigua and Barbuda,2005,
Argentina,2005,5
Armenia,2005,10.9
Aruba,2005,
Australia,2005,5
Austria,2005,5
Azerbaijan,2005,5
Bahamas,2005,
Bahrain,2005,
Bangladesh,2005,17.1
Barbados,2005,6.9
Belarus,2005,5
Belgium,2005,5
Belize,2005,5
Benin,2005,15.9
Bermuda,2005,5
Bhutan,2005,
Bolivia,2005,31.1
Bosnia and Herzegovina,2005,5
Botswana,2005,32.8
Brazil,2005,5
British Virgin Islands,2005,
Brunei Darussalam,2005,5
Bulgaria,2005,5
Burkina Faso,2005,25.9
Burundi,2005,
Cambodia,2005,20.8
Cameroon,2005,23.1
Canada,2005,5
Cape Verde,2005,15.9
Cayman Islands,2005,
Central African Republic,2005,41.8
Chad,2005,39.7
Chile,2005,5
China,2005,15.6
Colombia,2005,9.5
Comoros,2005,
Congo,2005,30.2
Cook Islands,2005,
Costa Rica,2005,6
Cote d'Ivoire,2005,14.8
Croatia,2005,5
Cuba,2005,5
Cyprus,2005,5
Czech Republic,2005,5
Democratic Republic of the Congo,2005,
Denmark,2005,5
Djibouti,2005,37.2
Dominica,2005,
Dominican Republic,2005,26.9
Ecuador,2005,19.3
Egypt,2005,5
El Salvador,2005,10.2
Equatorial Guinea,2005,
Eritrea,2005,
Estonia,2005,5
Ethiopia,2005,45.9
Faeroe Islands,2005,5
Fiji,2005,5
Finland,2005,5
France,2005,5
French Guiana,2005,
French Polynesia,2005,
Gabon,2005,5
Gambia,2005,15
Georgia,2005,6.3
Germany,2005,5
Ghana,2005,11.6
Gibraltar,2005,5
Greece,2005,5
Greenland,2005,5
Grenada,2005,
Guadeloupe,2005,
Guam,2005,
Guatemala,2005,16.2
Guinea,2005,23.1
Guinea-Bissau,2005,25.4
Guyana,2005,10.1
Haiti,2005,57.6
Honduras,2005,16.7
Hungary,2005,5
Iceland,2005,5
India,2005,21.2
Indonesia,2005,18.8
Iran (Islamic Republic of),2005,6.5
Iraq,2005,25.1
Ireland,2005,5
Israel,2005,5
Italy,2005,5
Jamaica,2005,6.8
Japan,2005,5
Jordan,2005,5
Kazakhstan,2005,5.5
Kenya,2005,31.8
Kiribati,2005,5
"Korea, Democratic People's Republic of",2005,34.2
"Korea, Republic of",2005,5
Kuwait,2005,5
Kyrgyzstan,2005,10.4
Lao People's Democratic Republic,2005,29.5
Latvia,2005,5
Lebanon,2005,5
Lesotho,2005,11
Liberia,2005,39.7
Libyan Arab Jamahiriya,2005,
Liechtenstein,2005,5
Lithuania,2005,5
Luxembourg,2005,5
Madagascar,2005,37.4
Malawi,2005,27.7
Malaysia,2005,5
Maldives,2005,15.3
Mali,2005,10.1
Malta,2005,5
Marshall Islands,2005,
Martinique,2005,
Mauritania,2005,11.4
Mauritius,2005,5.6
Mayotte,2005,
Mexico,2005,5.3
"Micronesia, Federated States of",2005,
Monaco,2005,5
Mongolia,2005,34.9
Montenegro,2005,5
Montserrat,2005,
Morocco,2005,5.5
Mozambique,2005,37.3
Myanmar,2005,36.9
Namibia,2005,25.4
Nauru,2005,
Nepal,2005,17
Netherlands,2005,5
New Caledonia,2005,
New Zealand,2005,5
Nicaragua,2005,24.3
Niger,2005,15.4
Nigeria,2005,7.2
Niue,2005,
Northern Mariana Islands,2005,
Norway,2005,5
Oman,2005,8.6
Pakistan,2005,24.7
Palau,2005,
Panama,2005,23.8
Papua New Guinea,2005,
Paraguay,2005,10.7
Peru,2005,20.3
Philippines,2005,17.6
Poland,2005,5
Portugal,2005,5
Puerto Rico,2005,
Qatar,2005,
Republic of Moldova,2005,5
Reunion,2005,
Romania,2005,5
Russian Federation,2005,5
Rwanda,2005,46.7
Saint Helena,2005,
Saint Kitts and Nevis,2005,
Saint Lucia,2005,
Saint Pierre and Miquelon,2005,5
Saint Vincent and the Grenadines,2005,10
Samoa,2005,5
San Marino,2005,5
Sao Tome and Principe,2005,10
Saudi Arabia,2005,5
Senegal,2005,22.9
Serbia,2005,5
Seychelles,2005,
Sierra Leone,2005,39.3
Singapore,2005,
Slovakia,2005,5
Slovenia,2005,5
Solomon Islands,2005,12.4
Somalia,2005,
South Africa,2005,5
South Sudan,2005,
Spain,2005,5
Sri Lanka,2005,29.5
State of Palestine,2005,
Sudan,2005,
Sudan (former),2005,
Suriname,2005,12.2
Swaziland,2005,15.8
Sweden,2005,5
Switzerland,2005,5
Syrian Arab Republic,2005,
Tajikistan,2005,42.3
Thailand,2005,13.4
The former Yugoslav Republic of Macedonia,2005,5
Timor-Leste,2005,33.8
Togo,2005,25.3
Tokelau,2005,
Tonga,2005,
Trinidad and Tobago,2005,12
Tunisia,2005,5
Turkey,2005,5
Turkmenistan,2005,5.5
Turks and Caicos Islands,2005,
Tuvalu,2005,
Uganda,2005,21.9
Ukraine,2005,5
United Arab Emirates,2005,5
United Kingdom,2005,5
United Republic of Tanzania,2005,36.7
United States,2005,5
United States Virgin Islands,2005,
Uruguay,2005,5
Uzbekistan,2005,14.7
Vanuatu,2005,7.4
Venezuela,2005,11.7
Viet Nam,2005,19
Wallis and Futuna Islands,2005,
Western Sahara,2005,
Yemen,2005,30.6
Zambia,2005,49.4
Zimbabwe,2005,41.6
