Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of Establishments with Corresponding Employment Change by Employment Size of the Enterprise for the United States and All States, Totals: 2013-2014",,,,,,,,,,,,,,,,,,,,,release date: 02/02/2017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: 1989-2014 Business Information Tracking Series.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,INITIAL YEAR (2013),,,,NET CHANGE (2013-2014),,,ESTABLISHMENT BIRTHS (2013-2014),,,ESTABLISHMENT DEATHS (2013-2014),,,ESTABLISHMENT EXPANSIONS (2013-2014),,,ESTABLISHMENT CONTRACTIONS (2013-2014),,,,,,,,
,,,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,EMPLOYMENT RANGE FLAG,CHANGE IN ESTABLISHMENTS,CHANGE IN EMPLOYMENT,NOISE FLAG,NUMBER OF ESTABLISHMENTS,CHANGE IN EMPLOYMENT,NOISE FLAG,NUMBER OF ESTABLISHMENTS,CHANGE IN EMPLOYMENT,NOISE FLAG,NUMBER OF ESTABLISHMENTS,CHANGE IN EMPLOYMENT,NOISE FLAG,NUMBER OF ESTABLISHMENTS,CHANGE IN EMPLOYMENT,NOISE FLAG,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,United States,1:  Total,"6,730,942","118,245,702",G,,"64,073","2,810,680",G,"670,944","5,176,297",G,"606,871","-4,456,303",G,"1,834,745","10,831,450",G,"1,616,832","-8,740,764",G,,,,,,
00,United States,2:  1-4,"2,860,994","5,922,079",G,,"33,294","766,163",G,"431,850","765,727",H,"398,556","-691,189",H,"532,864","1,071,084",G,"335,577","-379,459",H,,,,,,
00,United States,3:  5-9,"1,003,253","6,519,048",G,,"4,934","180,233",G,"62,042","401,545",G,"57,108","-363,556",G,"306,977","766,146",G,"333,904","-623,902",G,,,,,,
00,United States,4:  10-19,"633,901","8,054,181",G,,599,"155,743",G,"30,786","404,549",G,"30,187","-375,927",G,"229,989","810,549",G,"240,962","-683,428",G,,,,,,
00,United States,5:  20-99,"684,076","19,691,702",G,,464,"365,727",G,"28,037","829,766",G,"27,573","-737,887",G,"262,707","1,674,258",G,"248,696","-1,400,410",G,,,,,,
00,United States,6:  100-499,"356,543","16,615,816",G,,"5,163","402,847",G,"19,086","605,819",G,"13,923","-479,378",G,"133,255","1,365,064",G,"101,060","-1,088,658",G,,,,,,
00,United States,7:  <500,"5,538,767","56,802,826",G,,"44,454","1,870,713",G,"571,801","3,007,406",G,"527,347","-2,647,937",G,"1,465,792","5,687,101",G,"1,260,199","-4,175,857",G,,,,,,
00,United States,8:  500+,"1,192,175","61,442,876",G,,"19,619","939,967",G,"99,143","2,168,891",G,"79,524","-1,808,366",G,"368,953","5,144,349",G,"356,633","-4,564,907",G,,,,,,
