playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abadfe01,2016,1,MIN,AL,P,39,0,102,0,3,0,1,,,,,
abadfe01,2016,2,BOS,AL,P,18,0,38,0,1,0,0,,,,,
abreujo02,2016,1,CHA,AL,1B,152,152,4067,1243,84,10,131,,,,,
achteaj01,2016,1,LAA,AL,P,27,0,113,2,4,0,0,,,,,
ackledu01,2016,1,NYA,AL,1B,13,10,255,80,7,0,7,,,,,
ackledu01,2016,1,NYA,AL,2B,1,0,3,0,0,0,0,,,,,
ackledu01,2016,1,NYA,AL,OF,9,6,163,9,1,0,1,,,,,
adamecr01,2016,1,COL,NL,2B,11,5,161,15,14,1,3,,,,,
adamecr01,2016,1,COL,NL,3B,11,1,66,1,3,0,1,,,,,
adamecr01,2016,1,COL,NL,SS,47,37,1018,52,121,5,20,,,,,
adamsau01,2016,1,CLE,AL,P,19,0,55,0,0,1,0,,,,,
adamsma01,2016,1,SLN,NL,1B,86,69,1805,617,71,7,62,,,,,
adlemti01,2016,1,CIN,NL,P,13,13,209,6,7,0,0,,,,,
adriaeh01,2016,1,SFN,NL,2B,7,3,72,3,8,0,2,,,,,
adriaeh01,2016,1,SFN,NL,3B,7,1,57,0,1,0,0,,,,,
adriaeh01,2016,1,SFN,NL,SS,13,6,205,8,24,2,2,,,,,
aguilje01,2016,1,CLE,AL,1B,7,1,48,18,0,0,2,,,,,
ahmedni01,2016,1,ARI,NL,SS,88,80,2164,111,273,10,61,,,,,
alberan01,2016,1,MIN,AL,P,6,2,51,1,3,0,1,,,,,
alberha01,2016,1,TEX,AL,1B,4,1,40,13,1,0,2,,,,,
alberha01,2016,1,TEX,AL,2B,6,3,99,8,9,1,2,,,,,
alberha01,2016,1,TEX,AL,3B,11,4,135,1,14,0,1,,,,,
alberha01,2016,1,TEX,AL,SS,9,6,178,13,33,0,10,,,,,
alberma01,2016,1,CHA,AL,P,58,1,154,2,8,2,2,,,,,
albural01,2016,1,LAA,AL,P,2,0,6,0,0,0,0,,,,,
alcanar01,2016,1,OAK,AL,2B,3,3,80,6,5,0,1,,,,,
alcanar01,2016,1,OAK,AL,OF,5,0,30,5,0,0,0,,,,,
alcanar01,2016,1,OAK,AL,SS,2,1,30,1,4,0,0,,,,,
alcanra01,2016,1,OAK,AL,P,5,5,67,0,2,0,0,,,,,
