playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
porceri01,2016,1,BOS,AL,22,4,33,33,3,0,0,669,193,78,23,32,189,0.23,3.15,0,3,13,0,890,0,85,2,3,16
scherma01,2016,1,WAS,NL,20,7,34,34,1,0,0,685,165,75,31,56,284,0.199,2.96,2,2,6,1,902,0,77,7,3,6
happja01,2016,1,TOR,AL,20,4,32,32,0,0,0,585,168,69,22,60,163,0.231,3.18,0,3,6,2,796,0,72,2,2,21
lestejo01,2016,1,CHN,NL,19,5,32,32,2,0,0,608,154,55,21,52,197,0.211,2.44,0,4,6,0,796,0,57,4,4,15
cuetojo01,2016,1,SFN,NL,18,5,32,32,5,2,0,659,195,68,15,45,198,0.238,2.79,1,3,8,1,881,0,71,7,3,13
klubeco01,2016,1,CLE,AL,18,9,32,32,3,2,0,645,170,75,22,57,227,0.216,3.14,1,5,7,1,860,0,82,6,2,17
arrieja01,2016,1,CHN,NL,18,8,31,31,1,1,0,592,138,68,16,76,190,0.194,3.1,1,16,6,0,795,0,72,2,1,17
priceda01,2016,1,BOS,AL,17,9,35,35,2,0,0,690,227,102,30,50,228,0.258,3.99,1,4,7,0,951,0,106,8,7,19
salech01,2016,1,CHA,AL,17,10,32,32,6,1,0,680,190,84,27,45,233,0.227,3.34,2,2,17,0,907,0,88,5,3,16
verlaju01,2016,1,DET,AL,16,9,34,34,2,0,0,683,171,77,30,57,254,0.207,3.04,1,6,8,0,903,0,81,4,7,8
roarkta01,2016,1,WAS,NL,16,10,34,33,0,0,0,630,173,66,17,73,172,0.228,2.83,4,6,13,1,855,0,72,10,1,28
iwakuhi01,2016,1,SEA,AL,16,12,33,33,0,0,0,597,218,91,28,46,147,0.282,4.12,3,4,5,0,836,0,95,6,7,25
maedake01,2016,1,LAN,NL,16,11,32,32,0,0,0,527,150,68,20,50,179,0.229,3.48,6,6,8,0,716,0,72,0,3,10
martica04,2016,1,SLN,NL,16,9,31,31,0,0,0,586,169,66,15,70,174,0.233,3.04,1,8,11,0,809,0,68,2,2,33
